Date,SITE NAME,STATE,DAILY_AQI_VALUE,SITE_LATITUDE,SITE_LONGITUDE
5/3/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
5/4/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
5/5/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
5/6/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
5/7/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
5/8/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
5/9/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
5/10/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
5/11/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
5/12/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
5/13/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
5/14/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
